Epoch,im_loss,re_loss,all_loss,psnr
1,2491.13134765625,0.0,2491.13134765625,21.5648124203722
2,1688.1139322916667,0.0,1688.1139322916667,16.539161154834247
3,2287.89306640625,0.0,2287.89306640625,18.906686049037752
4,1393.60009765625,0.0,1393.60009765625,29.402577495806284
5,507.344970703125,0.0,507.344970703125,30.545402119990925
6,402.9175618489583,0.0,402.9175618489583,32.39232464897659
7,345.4975992838542,0.0,345.4975992838542,31.827000773821766
8,354.2659912109375,0.0,354.2659912109375,32.04766840415897
9,286.96632893880206,0.0,286.96632893880206,31.938909323733043
10,295.385009765625,0.0,295.385009765625,31.69021018352371
11,289.35923258463544,0.0,289.35923258463544,32.923160871551985
12,301.9940999348958,0.0,301.9940999348958,32.25456277312751
13,246.0535888671875,0.0,246.0535888671875,32.508019256446346
14,259.4026692708333,0.0,259.4026692708333,32.83097489413685
15,274.0362955729167,0.0,274.0362955729167,33.46682828366496
16,239.3226521809896,0.0,239.3226521809896,33.335308103679296
17,236.27091471354166,0.0,236.27091471354166,33.19883214127463
18,251.1788330078125,0.0,251.1788330078125,32.466732769978066
19,214.593994140625,0.0,214.593994140625,33.00948531301384
20,262.1209309895833,0.0,262.1209309895833,32.831116053834805
21,232.709716796875,0.0,232.709716796875,32.30903672043472
22,204.1145222981771,0.0,204.1145222981771,33.118816976078975
23,249.0024210611979,0.0,249.0024210611979,33.306374169716044
24,247.7359415690104,0.0,247.7359415690104,32.889387122535865
25,236.55997721354166,0.0,236.55997721354166,33.33422722325168
26,238.34415690104166,0.0,238.34415690104166,33.99973160505421
27,200.38130696614584,0.0,200.38130696614584,33.11645905020059
28,213.81363932291666,0.0,213.81363932291666,32.11007781225089
29,238.70916748046875,0.0,238.70916748046875,32.12909659262787
30,208.69913736979166,0.0,208.69913736979166,34.43932764578636
31,250.1360066731771,0.0,250.1360066731771,33.687080264270804
32,237.43426513671875,0.0,237.43426513671875,32.27322879732503
33,224.8227742513021,0.0,224.8227742513021,33.192724191200746
34,178.45198567708334,0.0,178.45198567708334,33.165501976444006
35,257.7001546223958,0.0,257.7001546223958,33.26761818234758
36,230.43792724609375,0.0,230.43792724609375,32.94799658674656
37,228.114990234375,0.0,228.114990234375,32.30504801264265
38,236.4996337890625,0.0,236.4996337890625,34.00984640992156
