Loss_im,psnr
4518.9167,9.3404
4518.9167,9.3404
4518.9167,9.3404
7056.2467,14.7076
7056.2467,14.7076
7056.2467,14.7076
4034.5693,18.8967
4034.5693,18.8967
4034.5693,18.8967
2422.8665,19.9011
2422.8665,19.9011
2422.8665,19.9011
2248.6947,19.8049
2248.6947,19.8049
2248.6947,19.8049
2231.3335,22.3248
2231.3335,22.3248
2231.3335,22.3248
1536.9253,21.3307
1536.9253,21.3307
1536.9253,21.3307
1575.2878,24.3847
1575.2878,24.3847
1575.2878,24.3847
1196.491,25.1619
1196.491,25.1619
1196.491,25.1619
1033.9019,25.5413
1033.9019,25.5413
1033.9019,25.5413
856.7915,26.4687
856.7915,26.4687
856.7915,26.4687
999.5133,26.7278
999.5133,26.7278
999.5133,26.7278
895.1855,26.6457
895.1855,26.6457
895.1855,26.6457
807.1214,26.2939
807.1214,26.2939
807.1214,26.2939
710.1442,26.5286
710.1442,26.5286
710.1442,26.5286
778.6126,28.026
778.6126,28.026
778.6126,28.026
787.983,27.3256
787.983,27.3256
787.983,27.3256
715.0825,27.5519
715.0825,27.5519
715.0825,27.5519
738.4964,28.0653
738.4964,28.0653
738.4964,28.0653
594.3944,29.2091
594.3944,29.2091
594.3944,29.2091
642.3879,28.4614
642.3879,28.4614
642.3879,28.4614
618.9016,29.4455
618.9016,29.4455
618.9016,29.4455
584.0148,28.5795
584.0148,28.5795
584.0148,28.5795
569.5918,29.8814
569.5918,29.8814
569.5918,29.8814
647.1999,30.3402
647.1999,30.3402
647.1999,30.3402
588.8184,29.3676
588.8184,29.3676
588.8184,29.3676
475.4397,28.3779
475.4397,28.3779
475.4397,28.3779
528.0346,30.2178
528.0346,30.2178
528.0346,30.2178
529.2281,29.8134
529.2281,29.8134
529.2281,29.8134
507.2188,31.7058
507.2188,31.7058
507.2188,31.7058
472.7634,29.8005
472.7634,29.8005
472.7634,29.8005
480.7449,30.4784
480.7449,30.4784
480.7449,30.4784
493.0067,30.7021
493.0067,30.7021
493.0067,30.7021
460.7523,29.2255
460.7523,29.2255
460.7523,29.2255
467.4426,29.9878
467.4426,29.9878
467.4426,29.9878
441.7747,29.8258
441.7747,29.8258
441.7747,29.8258
439.6677,30.6353
439.6677,30.6353
439.6677,30.6353
456.1677,30.9079
456.1677,30.9079
456.1677,30.9079
466.2935,31.6572
466.2935,31.6572
466.2935,31.6572
407.6635,31.0938
407.6635,31.0938
407.6635,31.0938
512.3942,30.5649
512.3942,30.5649
512.3942,30.5649
458.2,30.3829
458.2,30.3829
458.2,30.3829
453.2691,31.9022
453.2691,31.9022
453.2691,31.9022
432.5704,30.2961
432.5704,30.2961
432.5704,30.2961
476.1631,30.6289
476.1631,30.6289
476.1631,30.6289
425.6765,30.8205
425.6765,30.8205
425.6765,30.8205
407.3004,33.4412
407.3004,33.4412
407.3004,33.4412
384.6645,30.604
384.6645,30.604
384.6645,30.604
423.027,31.7232
423.027,31.7232
423.027,31.7232
436.0511,31.545
436.0511,31.545
436.0511,31.545
440.1316,30.9313
440.1316,30.9313
440.1316,30.9313
398.7247,31.5731
398.7247,31.5731
398.7247,31.5731
356.1826,31.185
356.1826,31.185
356.1826,31.185
416.0689,31.2064
416.0689,31.2064
416.0689,31.2064
