Loss_im,psnr
3174.639,18.0809
3174.639,18.0809
3174.639,18.0809
2139.9001,19.6941
2139.9001,19.6941
2139.9001,19.6941
1372.8132,28.8626
1372.8132,28.8626
1372.8132,28.8626
587.2926,30.7873
587.2926,30.7873
587.2926,30.7873
390.074,32.8821
390.074,32.8821
390.074,32.8821
366.3822,32.1355
366.3822,32.1355
366.3822,32.1355
371.6294,32.9133
371.6294,32.9133
371.6294,32.9133
338.6465,32.9605
338.6465,32.9605
338.6465,32.9605
309.3876,32.5057
309.3876,32.5057
309.3876,32.5057
311.8401,33.7469
311.8401,33.7469
311.8401,33.7469
255.671,33.3021
255.671,33.3021
255.671,33.3021
260.4257,33.7145
260.4257,33.7145
260.4257,33.7145
293.5609,32.2942
293.5609,32.2942
293.5609,32.2942
249.7758,32.5117
249.7758,32.5117
249.7758,32.5117
262.3599,33.3481
262.3599,33.3481
262.3599,33.3481
230.736,31.7362
230.736,31.7362
230.736,31.7362
266.441,33.7302
266.441,33.7302
266.441,33.7302
264.038,33.3093
264.038,33.3093
264.038,33.3093
221.4561,33.1587
221.4561,33.1587
221.4561,33.1587
228.8352,32.7223
228.8352,32.7223
228.8352,32.7223
251.0008,33.5808
251.0008,33.5808
251.0008,33.5808
222.7998,33.9368
222.7998,33.9368
222.7998,33.9368
222.4385,34.198
222.4385,34.198
222.4385,34.198
249.4019,33.5964
249.4019,33.5964
249.4019,33.5964
227.3989,34.2635
227.3989,34.2635
227.3989,34.2635
221.7991,33.1851
221.7991,33.1851
221.7991,33.1851
204.616,33.1679
204.616,33.1679
204.616,33.1679
237.4144,33.6067
237.4144,33.6067
237.4144,33.6067
282.1398,34.1275
282.1398,34.1275
282.1398,34.1275
228.7522,33.2924
228.7522,33.2924
228.7522,33.2924
240.9049,33.2607
240.9049,33.2607
240.9049,33.2607
212.0653,33.9202
212.0653,33.9202
212.0653,33.9202
253.9264,33.2704
253.9264,33.2704
253.9264,33.2704
221.8751,33.1418
221.8751,33.1418
221.8751,33.1418
257.9324,32.7457
257.9324,32.7457
257.9324,32.7457
230.7926,33.4825
230.7926,33.4825
230.7926,33.4825
245.9565,33.1351
245.9565,33.1351
245.9565,33.1351
238.7076,33.3322
238.7076,33.3322
238.7076,33.3322
239.2143,34.2008
239.2143,34.2008
239.2143,34.2008
245.1752,32.6453
245.1752,32.6453
245.1752,32.6453
181.1821,34.1898
181.1821,34.1898
181.1821,34.1898
221.6488,33.9213
221.6488,33.9213
221.6488,33.9213
254.6356,32.7452
254.6356,32.7452
254.6356,32.7452
237.631,32.7946
237.631,32.7946
237.631,32.7946
232.0635,33.9019
232.0635,33.9019
232.0635,33.9019
225.2052,33.5062
225.2052,33.5062
225.2052,33.5062
226.0613,31.9916
226.0613,31.9916
226.0613,31.9916
199.0459,32.8252
199.0459,32.8252
199.0459,32.8252
227.1555,33.4338
227.1555,33.4338
227.1555,33.4338
219.1596,34.4181
219.1596,34.4181
219.1596,34.4181
179.5734,33.6343
179.5734,33.6343
179.5734,33.6343
225.5929,32.6963
225.5929,32.6963
225.5929,32.6963
190.0078,33.0277
190.0078,33.0277
190.0078,33.0277
197.517,33.03
197.517,33.03
197.517,33.03
246.8128,32.8834
246.8128,32.8834
246.8128,32.8834
183.7227,33.2354
183.7227,33.2354
183.7227,33.2354
214.0612,32.9936
214.0612,32.9936
214.0612,32.9936
227.4963,33.581
227.4963,33.581
227.4963,33.581
198.2038,33.5641
198.2038,33.5641
198.2038,33.5641
196.0794,33.1257
196.0794,33.1257
196.0794,33.1257
247.3586,32.2889
247.3586,32.2889
247.3586,32.2889
202.0136,33.1432
202.0136,33.1432
202.0136,33.1432
242.3035,32.5124
242.3035,32.5124
242.3035,32.5124
213.1828,34.4527
213.1828,34.4527
213.1828,34.4527
287.7369,33.5052
287.7369,33.5052
287.7369,33.5052
212.8959,33.3244
212.8959,33.3244
212.8959,33.3244
215.9063,32.6079
215.9063,32.6079
215.9063,32.6079
240.1478,32.3055
240.1478,32.3055
240.1478,32.3055
231.6778,33.4904
231.6778,33.4904
231.6778,33.4904
203.1349,32.1054
203.1349,32.1054
203.1349,32.1054
204.9815,33.7561
204.9815,33.7561
204.9815,33.7561
227.7677,32.7897
227.7677,32.7897
227.7677,32.7897
214.9603,34.2383
214.9603,34.2383
214.9603,34.2383
227.2134,33.5759
227.2134,33.5759
227.2134,33.5759
229.1234,33.2367
229.1234,33.2367
229.1234,33.2367
236.6454,32.8302
236.6454,32.8302
236.6454,32.8302
206.2689,32.9922
206.2689,32.9922
