Epoch,im_loss,re_loss,all_loss,psnr
1,1064.7392578125,0.0,1064.7392578125,18.651187287567787
2,1912.953125,0.0,1912.953125,19.09926531698725
3,1871.1168619791667,0.0,1871.1168619791667,27.296031740274735
4,806.9711100260416,0.0,806.9711100260416,31.063851433137124
5,482.7953287760417,0.0,482.7953287760417,31.312728755584885
6,379.1074625651042,0.0,379.1074625651042,33.558352902833924
7,354.4359944661458,0.0,354.4359944661458,33.36499798230664
8,308.4188639322917,0.0,308.4188639322917,31.911458182288975
9,295.30544026692706,0.0,295.30544026692706,33.76212296156818
10,265.86281331380206,0.0,265.86281331380206,34.06189478136024
11,242.09025065104166,0.0,242.09025065104166,33.883226605213224
12,281.59071858723956,0.0,281.59071858723956,34.16346085887618
13,285.2898763020833,0.0,285.2898763020833,33.06890546023859
14,225.59871419270834,0.0,225.59871419270834,31.37217689760705
15,270.28688557942706,0.0,270.28688557942706,32.39046861268362
16,234.12032063802084,0.0,234.12032063802084,33.29113618897489
17,257.3912353515625,0.0,257.3912353515625,33.19945748758147
18,210.77421061197916,0.0,210.77421061197916,33.538959539989655
19,243.0186767578125,0.0,243.0186767578125,32.87009425199181
20,228.20269775390625,0.0,228.20269775390625,33.08199020200729
21,227.1742146809896,0.0,227.1742146809896,33.71682665381841
22,243.66802978515625,0.0,243.66802978515625,32.03591172910142
23,237.1241251627604,0.0,237.1241251627604,32.39756812645695
24,231.90120442708334,0.0,231.90120442708334,33.05424376298211
25,227.3077392578125,0.0,227.3077392578125,33.464190703369525
26,263.96893310546875,0.0,263.96893310546875,32.874036658139914
27,213.83475748697916,0.0,213.83475748697916,34.319993153734025
28,197.44189453125,0.0,197.44189453125,32.91427417184818
29,255.37353515625,0.0,255.37353515625,33.04673436483017
30,209.0099894205729,0.0,209.0099894205729,32.126901053523376
31,269.9748942057292,0.0,269.9748942057292,33.71143249062733
32,180.48457845052084,0.0,180.48457845052084,33.136708680640346
33,237.51556396484375,0.0,237.51556396484375,32.63072333915132
34,190.702392578125,0.0,190.702392578125,33.21645905772942
35,236.76802571614584,0.0,236.76802571614584,33.82308722130962
36,205.44781494140625,0.0,205.44781494140625,33.60309668094385
37,183.09493001302084,0.0,183.09493001302084,33.17098011402229
38,209.0543416341146,0.0,209.0543416341146,33.38067562986787
39,246.2542724609375,0.0,246.2542724609375,31.250690266129517
